Climate,SoilType,WaterLevel,LandSize,PlantName,FertilizerName,DiseasesName,MedicineName
Rainy (Monsoon),Red Soil,high,2.09,Adzuki Bean,DAP,Blight,Neem Oil Spray
Summer,Alluvial Soil,high,2.12,Adzuki Bean,NPK,Mosaic Virus,Imidacloprid
Rainy (Monsoon),Black Soil,medium,3.44,Adzuki Bean,Farmyard Manure,Powdery Mildew,Copper Fungicide
Summer,Clay,medium,2.38,Adzuki Bean,Bone Meal,Mosaic Virus,Copper Fungicide
Cold,Red Soil,low,2.84,Bambara Groundnut,DAP,Wilt,Carbendazim
Summer,Clay,medium,4.13,Bambara Groundnut,DAP,Leaf Spot,Copper Fungicide
Summer,Red Soil,low,0.73,Bambara Groundnut,Farmyard Manure,Leaf Spot,Sulfur Dust
Rainy (Monsoon),Clay,medium,4.02,Bambara Groundnut,Bone Meal,Rust,Neem Oil Spray
Spring,Red Soil,high,1.45,Bambara Groundnut,DAP,Mosaic Virus,Copper Fungicide
Summer,Silty,high,2.56,Bambara Groundnut,Farmyard Manure,Mosaic Virus,Carbendazim
Winter,Alluvial Soil,low,4.14,Bambara Groundnut,Vermicompost,Wilt,Carbendazim
Summer,Alluvial Soil,low,3.1,Bambara Groundnut,NPK,Leaf Spot,Trichoderma
Cold,Clay,high,1.74,Bambara Groundnut,DAP,Mosaic Virus,Copper Fungicide
Winter,Black Soil,high,4.56,Bambara Groundnut,DAP,Blight,Bordeaux Mixture
Winter,Silty,high,3.01,Velvet Bean,Bone Meal,Leaf Spot,Bordeaux Mixture
Cold,Alluvial Soil,high,1.14,Velvet Bean,Urea,Wilt,Imidacloprid
Cold,Clay,low,3.3,Velvet Bean,Bone Meal,Mosaic Virus,Copper Fungicide
Cold,Red Soil,medium,1.17,Velvet Bean,Bone Meal,Powdery Mildew,Neem Oil Spray
Spring,Red Soil,low,1.58,Velvet Bean,Compost,Blight,Imidacloprid
Summer,Red Soil,high,2.53,Velvet Bean,Farmyard Manure,Powdery Mildew,Imidacloprid
Rainy (Monsoon),Clay,high,0.91,Velvet Bean,DAP,Wilt,Copper Fungicide
Rainy (Monsoon),Sandy,high,0.52,Velvet Bean,Compost,Wilt,Bordeaux Mixture
Cold,Clay,medium,3.6,Velvet Bean,Compost,Powdery Mildew,Carbendazim
Winter,Alluvial Soil,low,3.1,Velvet Bean,Compost,Leaf Spot,Imidacloprid
Spring,Sandy,medium,3.32,Jack Bean,Bone Meal,Leaf Spot,Trichoderma
Cold,Alluvial Soil,high,2.81,Jack Bean,Farmyard Manure,Leaf Spot,Imidacloprid
Summer,Red Soil,high,3.06,Jack Bean,Compost,Mosaic Virus,Copper Fungicide
Summer,Red Soil,high,1.52,Jack Bean,Urea,Leaf Spot,Neem Oil Spray
Cold,Silty,low,4.24,Jack Bean,Bone Meal,Blight,Trichoderma
Summer,Clay,high,3.91,Jack Bean,NPK,Wilt,Trichoderma
Cold,Sandy,low,4.1,Jack Bean,Farmyard Manure,Mosaic Virus,Trichoderma
Summer,Silty,high,2.25,Jack Bean,Compost,Rust,Sulfur Dust
Winter,Black Soil,low,2.09,Jack Bean,Urea,Powdery Mildew,Trichoderma
Summer,Alluvial Soil,medium,1.93,Jack Bean,Vermicompost,Powdery Mildew,Sulfur Dust
Rainy (Monsoon),Black Soil,low,4,Sword Bean,Urea,Wilt,Carbendazim
Rainy (Monsoon),Sandy,medium,4.35,Sword Bean,Compost,Root Rot,Trichoderma
Rainy (Monsoon),Silty,high,3.54,Sword Bean,DAP,Wilt,Carbendazim
Spring,Silty,medium,4.75,Sword Bean,DAP,Powdery Mildew,Trichoderma
Rainy (Monsoon),Alluvial Soil,medium,0.89,Sword Bean,Bone Meal,Leaf Spot,Sulfur Dust
Summer,Loamy,low,2.81,Sword Bean,Farmyard Manure,Root Rot,Bordeaux Mixture
Cold,Sandy,low,3.1,Sword Bean,Vermicompost,Root Rot,Bordeaux Mixture
Summer,Clay,medium,3.93,Sword Bean,Compost,Leaf Spot,Copper Fungicide
Cold,Clay,high,0.74,Sword Bean,Farmyard Manure,Blight,Carbendazim
Cold,Clay,low,4.34,Sword Bean,Bone Meal,Blight,Imidacloprid
Rainy (Monsoon),Silty,high,2.39,Rice Bean,Bone Meal,Blight,Carbendazim
Winter,Silty,medium,2.43,Rice Bean,Farmyard Manure,Powdery Mildew,Carbendazim
Rainy (Monsoon),Black Soil,medium,2.78,Rice Bean,Urea,Powdery Mildew,Neem Oil Spray
Rainy (Monsoon),Sandy,low,3,Rice Bean,NPK,Mosaic Virus,Bordeaux Mixture
Winter,Silty,high,1.3,Rice Bean,DAP,Leaf Spot,Trichoderma
Summer,Black Soil,low,0.88,Rice Bean,NPK,Wilt,Sulfur Dust
Spring,Sandy,medium,3.22,Rice Bean,Urea,Mosaic Virus,Neem Oil Spray
Cold,Sandy,medium,3.39,Rice Bean,Urea,Mosaic Virus,Carbendazim
Winter,Loamy,low,3.52,Rice Bean,Compost,Mosaic Virus,Carbendazim
Summer,Loamy,medium,2.5,Rice Bean,Farmyard Manure,Root Rot,Imidacloprid
Winter,Loamy,medium,3.61,Triticale,Urea,Mosaic Virus,Trichoderma
Summer,Alluvial Soil,low,4.96,Triticale,Vermicompost,Mosaic Virus,Copper Fungicide
Spring,Loamy,low,4.7,Triticale,Urea,Blight,Neem Oil Spray
Rainy (Monsoon),Clay,low,0.9,Triticale,Vermicompost,Root Rot,Copper Fungicide
Spring,Black Soil,medium,2.02,Triticale,Farmyard Manure,Leaf Spot,Carbendazim
Winter,Red Soil,low,2.8,Triticale,Bone Meal,Rust,Imidacloprid
Winter,Loamy,high,4.21,Triticale,Compost,Leaf Spot,Carbendazim
Winter,Loamy,low,4.35,Triticale,Urea,Leaf Spot,Imidacloprid
Winter,Loamy,high,4.95,Triticale,Vermicompost,Rust,Imidacloprid
Summer,Clay,high,3.85,Triticale,NPK,Root Rot,Sulfur Dust
Cold,Red Soil,low,4.29,Job's Tears,Vermicompost,Powdery Mildew,Neem Oil Spray
Summer,Clay,high,0.67,Job's Tears,Bone Meal,Mosaic Virus,Copper Fungicide
Summer,Sandy,high,0.9,Job's Tears,Farmyard Manure,Root Rot,Sulfur Dust
Summer,Black Soil,high,0.58,Job's Tears,DAP,Leaf Spot,Copper Fungicide
Spring,Silty,high,2.83,Job's Tears,NPK,Leaf Spot,Trichoderma
Cold,Clay,medium,0.62,Job's Tears,Vermicompost,Blight,Neem Oil Spray
Rainy (Monsoon),Loamy,high,4.67,Job's Tears,NPK,Powdery Mildew,Carbendazim
Winter,Alluvial Soil,medium,2.72,Job's Tears,Urea,Root Rot,Trichoderma
Summer,Red Soil,medium,1.85,Job's Tears,DAP,Mosaic Virus,Copper Fungicide
Rainy (Monsoon),Alluvial Soil,medium,0.77,Job's Tears,Compost,Rust,Trichoderma
Cold,Red Soil,high,2.12,Canary Seed,DAP,Blight,Bordeaux Mixture
Summer,Alluvial Soil,medium,3.34,Canary Seed,Vermicompost,Powdery Mildew,Trichoderma
Summer,Alluvial Soil,high,0.86,Canary Seed,Urea,Leaf Spot,Sulfur Dust
Spring,Silty,high,1,Canary Seed,NPK,Mosaic Virus,Carbendazim
Winter,Red Soil,low,1.55,Canary Seed,NPK,Leaf Spot,Neem Oil Spray
Winter,Red Soil,low,3.66,Canary Seed,DAP,Leaf Spot,Copper Fungicide
Spring,Loamy,medium,2.43,Canary Seed,Vermicompost,Rust,Neem Oil Spray
Rainy (Monsoon),Alluvial Soil,medium,0.76,Canary Seed,Vermicompost,Powdery Mildew,Carbendazim
Rainy (Monsoon),Black Soil,medium,0.81,Canary Seed,Vermicompost,Rust,Imidacloprid
Summer,Loamy,medium,3.71,Canary Seed,DAP,Powdery Mildew,Bordeaux Mixture
Summer,Clay,medium,1.68,Proso Millet,NPK,Mosaic Virus,Trichoderma
Winter,Red Soil,medium,4.95,Proso Millet,Bone Meal,Mosaic Virus,Sulfur Dust
Summer,Black Soil,high,0.5,Proso Millet,Farmyard Manure,Root Rot,Neem Oil Spray
Cold,Sandy,medium,4.72,Proso Millet,Farmyard Manure,Rust,Carbendazim
Rainy (Monsoon),Loamy,medium,0.58,Proso Millet,Urea,Wilt,Bordeaux Mixture
Cold,Black Soil,high,4.17,Proso Millet,Urea,Leaf Spot,Imidacloprid
Summer,Red Soil,low,2.26,Proso Millet,Vermicompost,Leaf Spot,Trichoderma
Cold,Sandy,low,4.96,Proso Millet,Bone Meal,Rust,Trichoderma
Winter,Black Soil,medium,0.56,Proso Millet,NPK,Mosaic Virus,Bordeaux Mixture
Winter,Loamy,medium,4.41,Proso Millet,NPK,Rust,Neem Oil Spray
Winter,Alluvial Soil,high,2.47,Barnyard Millet,Farmyard Manure,Root Rot,Sulfur Dust
Winter,Sandy,medium,1.73,Barnyard Millet,Compost,Mosaic Virus,Copper Fungicide
Summer,Red Soil,high,3.77,Barnyard Millet,NPK,Root Rot,Sulfur Dust
Spring,Black Soil,low,3.63,Barnyard Millet,DAP,Mosaic Virus,Sulfur Dust
Cold,Sandy,low,1.87,Barnyard Millet,Bone Meal,Rust,Neem Oil Spray
Summer,Clay,low,2.67,Barnyard Millet,NPK,Blight,Sulfur Dust
Cold,Sandy,low,3.86,Barnyard Millet,Vermicompost,Rust,Sulfur Dust
Rainy (Monsoon),Sandy,high,2.22,Barnyard Millet,Compost,Blight,Imidacloprid
Winter,Red Soil,high,2.9,Barnyard Millet,Vermicompost,Wilt,Sulfur Dust
Spring,Sandy,low,4.47,Barnyard Millet,NPK,Leaf Spot,Neem Oil Spray
Rainy (Monsoon),Red Soil,medium,1.48,Browntop Millet,Compost,Powdery Mildew,Bordeaux Mixture
Spring,Sandy,low,0.99,Browntop Millet,Compost,Wilt,Bordeaux Mixture
Spring,Silty,high,0.62,Browntop Millet,Farmyard Manure,Blight,Sulfur Dust
Cold,Alluvial Soil,low,3.5,Browntop Millet,Compost,Leaf Spot,Sulfur Dust
Rainy (Monsoon),Sandy,high,0.63,Browntop Millet,Vermicompost,Rust,Bordeaux Mixture
Cold,Red Soil,medium,0.82,Browntop Millet,NPK,Root Rot,Carbendazim
Cold,Loamy,high,4.53,Browntop Millet,Vermicompost,Blight,Sulfur Dust
Rainy (Monsoon),Silty,medium,1.23,Browntop Millet,DAP,Wilt,Trichoderma
Winter,Loamy,high,3.52,Browntop Millet,NPK,Rust,Imidacloprid
Rainy (Monsoon),Red Soil,medium,0.61,Browntop Millet,Vermicompost,Rust,Carbendazim
Spring,Red Soil,medium,0.58,Fonio,Vermicompost,Powdery Mildew,Sulfur Dust
Spring,Clay,medium,1.82,Fonio,Vermicompost,Powdery Mildew,Copper Fungicide
Rainy (Monsoon),Sandy,high,1.44,Fonio,DAP,Root Rot,Trichoderma
Rainy (Monsoon),Silty,high,1.38,Fonio,Vermicompost,Root Rot,Carbendazim
Summer,Silty,high,4.08,Fonio,Urea,Powdery Mildew,Bordeaux Mixture
Cold,Loamy,low,3.74,Fonio,DAP,Powdery Mildew,Neem Oil Spray
Cold,Alluvial Soil,medium,1.47,Fonio,Bone Meal,Blight,Copper Fungicide
Cold,Alluvial Soil,low,2.34,Fonio,Farmyard Manure,Root Rot,Neem Oil Spray
Cold,Sandy,medium,1,Fonio,Vermicompost,Root Rot,Trichoderma
Spring,Loamy,high,0.64,Fonio,Urea,Powdery Mildew,Bordeaux Mixture
Rainy (Monsoon),Loamy,medium,4.42,Amaranth Grain,Vermicompost,Leaf Spot,Neem Oil Spray
Cold,Clay,medium,1.62,Amaranth Grain,Compost,Leaf Spot,Neem Oil Spray
Winter,Clay,medium,1.47,Amaranth Grain,Farmyard Manure,Wilt,Neem Oil Spray
Cold,Loamy,low,2.43,Amaranth Grain,DAP,Wilt,Bordeaux Mixture
Summer,Loamy,low,4.55,Amaranth Grain,DAP,Root Rot,Trichoderma
Spring,Sandy,low,3.03,Amaranth Grain,DAP,Leaf Spot,Bordeaux Mixture
Rainy (Monsoon),Red Soil,low,1.63,Amaranth Grain,NPK,Powdery Mildew,Copper Fungicide
Rainy (Monsoon),Loamy,high,2.14,Amaranth Grain,Compost,Blight,Trichoderma
Rainy (Monsoon),Clay,high,1.26,Amaranth Grain,Vermicompost,Rust,Trichoderma
Spring,Loamy,low,3.46,Amaranth Grain,Vermicompost,Powdery Mildew,Bordeaux Mixture
Rainy (Monsoon),Red Soil,medium,4.18,Wild Rice,Bone Meal,Root Rot,Trichoderma
Rainy (Monsoon),Alluvial Soil,medium,4.46,Wild Rice,Farmyard Manure,Wilt,Sulfur Dust
Rainy (Monsoon),Silty,high,4.11,Wild Rice,DAP,Blight,Imidacloprid
Spring,Sandy,medium,0.64,Wild Rice,DAP,Powdery Mildew,Trichoderma
Spring,Clay,low,0.79,Wild Rice,DAP,Blight,Sulfur Dust
Spring,Loamy,medium,4.39,Wild Rice,Vermicompost,Mosaic Virus,Bordeaux Mixture
Rainy (Monsoon),Silty,high,1.36,Wild Rice,Urea,Mosaic Virus,Copper Fungicide
Rainy (Monsoon),Black Soil,low,2.25,Wild Rice,Compost,Wilt,Carbendazim
Rainy (Monsoon),Silty,low,1.47,Wild Rice,Urea,Root Rot,Trichoderma
Cold,Alluvial Soil,high,4.73,Wild Rice,Bone Meal,Rust,Bordeaux Mixture
Cold,Clay,high,1.16,Durum Wheat,Compost,Rust,Imidacloprid
Winter,Clay,medium,3.03,Durum Wheat,Bone Meal,Wilt,Copper Fungicide
Rainy (Monsoon),Sandy,high,1.4,Durum Wheat,Urea,Powdery Mildew,Sulfur Dust
Cold,Silty,low,2.44,Durum Wheat,DAP,Root Rot,Neem Oil Spray
Rainy (Monsoon),Sandy,low,1.17,Durum Wheat,Farmyard Manure,Root Rot,Imidacloprid
Rainy (Monsoon),Sandy,high,1.8,Durum Wheat,Bone Meal,Leaf Spot,Copper Fungicide
Rainy (Monsoon),Black Soil,medium,1.66,Durum Wheat,Vermicompost,Rust,Neem Oil Spray
Cold,Black Soil,high,3.66,Durum Wheat,DAP,Root Rot,Bordeaux Mixture
Rainy (Monsoon),Alluvial Soil,low,1.32,Durum Wheat,Farmyard Manure,Blight,Bordeaux Mixture
Summer,Silty,high,2.04,Durum Wheat,Compost,Rust,Copper Fungicide
Cold,Black Soil,medium,4.65,Spelt,Bone Meal,Powdery Mildew,Neem Oil Spray
Spring,Silty,high,3.68,Spelt,Urea,Mosaic Virus,Imidacloprid
Winter,Sandy,low,4.45,Spelt,Bone Meal,Rust,Neem Oil Spray
Spring,Alluvial Soil,high,4.63,Spelt,Urea,Powdery Mildew,Sulfur Dust
Cold,Sandy,medium,2.51,Spelt,Compost,Wilt,Copper Fungicide
Winter,Clay,medium,3.64,Spelt,Vermicompost,Wilt,Neem Oil Spray
Spring,Clay,high,1.32,Spelt,Compost,Powdery Mildew,Neem Oil Spray
Rainy (Monsoon),Clay,medium,2.66,Spelt,Farmyard Manure,Leaf Spot,Neem Oil Spray
Cold,Loamy,high,3.23,Spelt,Urea,Mosaic Virus,Imidacloprid
Spring,Silty,low,2.43,Spelt,Vermicompost,Leaf Spot,Carbendazim
Winter,Black Soil,low,4,Einkorn Wheat,Compost,Mosaic Virus,Neem Oil Spray
Rainy (Monsoon),Clay,medium,4.17,Einkorn Wheat,Compost,Wilt,Sulfur Dust
Cold,Loamy,medium,4.19,Einkorn Wheat,Urea,Rust,Sulfur Dust
Rainy (Monsoon),Silty,low,3.5,Einkorn Wheat,Farmyard Manure,Rust,Sulfur Dust
Rainy (Monsoon),Clay,medium,3.26,Einkorn Wheat,NPK,Mosaic Virus,Imidacloprid
Rainy (Monsoon),Red Soil,high,2.3,Einkorn Wheat,Bone Meal,Blight,Bordeaux Mixture
Winter,Clay,medium,3.4,Einkorn Wheat,DAP,Mosaic Virus,Copper Fungicide
Rainy (Monsoon),Silty,low,3.91,Einkorn Wheat,NPK,Rust,Carbendazim
Spring,Loamy,high,3.98,Einkorn Wheat,DAP,Root Rot,Trichoderma
Spring,Loamy,low,1.09,Einkorn Wheat,Compost,Root Rot,Carbendazim
Cold,Sandy,high,4.21,Emmer Wheat,Compost,Wilt,Neem Oil Spray
Winter,Silty,low,4.11,Emmer Wheat,DAP,Rust,Neem Oil Spray
Spring,Red Soil,high,1.09,Emmer Wheat,Vermicompost,Wilt,Carbendazim
Winter,Red Soil,medium,3.72,Emmer Wheat,Vermicompost,Mosaic Virus,Sulfur Dust
Rainy (Monsoon),Alluvial Soil,medium,3.08,Emmer Wheat,Bone Meal,Rust,Bordeaux Mixture
Summer,Black Soil,low,4.37,Emmer Wheat,DAP,Leaf Spot,Imidacloprid
Summer,Silty,high,4.81,Emmer Wheat,Compost,Leaf Spot,Sulfur Dust
Winter,Loamy,low,0.91,Emmer Wheat,Urea,Wilt,Bordeaux Mixture
Spring,Sandy,medium,2.52,Emmer Wheat,NPK,Leaf Spot,Carbendazim
Rainy (Monsoon),Alluvial Soil,medium,2.62,Emmer Wheat,Vermicompost,Leaf Spot,Bordeaux Mixture
Summer,Loamy,low,3.46,Teosinte,Compost,Leaf Spot,Sulfur Dust
Spring,Black Soil,high,3.34,Teosinte,Compost,Mosaic Virus,Carbendazim
Rainy (Monsoon),Loamy,low,4.47,Teosinte,NPK,Rust,Imidacloprid
Cold,Sandy,medium,4.1,Teosinte,Compost,Wilt,Copper Fungicide
Rainy (Monsoon),Sandy,low,4.84,Teosinte,Bone Meal,Mosaic Virus,Imidacloprid
Rainy (Monsoon),Silty,low,4.32,Teosinte,Bone Meal,Powdery Mildew,Neem Oil Spray
Spring,Loamy,medium,3.54,Teosinte,Vermicompost,Leaf Spot,Bordeaux Mixture
Spring,Red Soil,low,1.16,Teosinte,Farmyard Manure,Leaf Spot,Neem Oil Spray
Spring,Black Soil,medium,0.6,Teosinte,Compost,Powdery Mildew,Carbendazim
Spring,Red Soil,low,3.73,Teosinte,Farmyard Manure,Powdery Mildew,Bordeaux Mixture
Summer,Alluvial Soil,low,1.75,Sweet Corn,DAP,Rust,Neem Oil Spray
Rainy (Monsoon),Sandy,medium,4.68,Sweet Corn,Compost,Powdery Mildew,Imidacloprid
Cold,Loamy,medium,1.21,Sweet Corn,Compost,Mosaic Virus,Imidacloprid
Summer,Loamy,medium,3.6,Sweet Corn,NPK,Root Rot,Neem Oil Spray
Cold,Loamy,high,4.87,Sweet Corn,Vermicompost,Powdery Mildew,Carbendazim
Spring,Silty,medium,4.72,Sweet Corn,Bone Meal,Powdery Mildew,Sulfur Dust
Spring,Black Soil,high,3.52,Sweet Corn,NPK,Blight,Carbendazim
Spring,Red Soil,low,1.74,Sweet Corn,Urea,Mosaic Virus,Trichoderma
Spring,Black Soil,medium,0.56,Sweet Corn,Vermicompost,Mosaic Virus,Bordeaux Mixture
Spring,Alluvial Soil,low,2.83,Sweet Corn,Compost,Powdery Mildew,Sulfur Dust
Rainy (Monsoon),Loamy,high,0.99,Popcorn,Urea,Mosaic Virus,Imidacloprid
Rainy (Monsoon),Sandy,medium,2.67,Popcorn,NPK,Rust,Imidacloprid
Cold,Clay,high,1.03,Popcorn,Compost,Rust,Neem Oil Spray
Rainy (Monsoon),Alluvial Soil,low,2.81,Popcorn,Urea,Powdery Mildew,Trichoderma
Summer,Red Soil,low,4.25,Popcorn,Compost,Root Rot,Copper Fungicide
Summer,Alluvial Soil,high,1.64,Popcorn,Compost,Blight,Copper Fungicide
Cold,Red Soil,medium,3.59,Popcorn,Farmyard Manure,Blight,Imidacloprid
Summer,Silty,low,2.86,Popcorn,Compost,Blight,Sulfur Dust
Rainy (Monsoon),Red Soil,low,4.26,Popcorn,NPK,Mosaic Virus,Trichoderma
Cold,Black Soil,low,4.17,Popcorn,Compost,Rust,Bordeaux Mixture
Rainy (Monsoon),Silty,low,4.34,Baby Corn,Compost,Powdery Mildew,Copper Fungicide
Cold,Silty,high,4.45,Baby Corn,NPK,Rust,Neem Oil Spray
Cold,Red Soil,low,4.58,Baby Corn,Vermicompost,Root Rot,Carbendazim
Rainy (Monsoon),Red Soil,low,1.55,Baby Corn,Compost,Rust,Trichoderma
Spring,Alluvial Soil,low,3.36,Baby Corn,Farmyard Manure,Mosaic Virus,Copper Fungicide
Rainy (Monsoon),Red Soil,medium,3.9,Baby Corn,Compost,Wilt,Neem Oil Spray
Cold,Alluvial Soil,high,2.31,Baby Corn,DAP,Leaf Spot,Neem Oil Spray
Summer,Sandy,medium,1.21,Baby Corn,Compost,Powdery Mildew,Copper Fungicide
Rainy (Monsoon),Clay,high,3.22,Baby Corn,Vermicompost,Blight,Bordeaux Mixture
Summer,Alluvial Soil,high,0.85,Baby Corn,Urea,Mosaic Virus,Neem Oil Spray
Spring,Sandy,high,3.66,Waxy Corn,Vermicompost,Mosaic Virus,Imidacloprid
Winter,Silty,medium,2.51,Waxy Corn,Bone Meal,Leaf Spot,Carbendazim
Summer,Red Soil,medium,2.03,Waxy Corn,Bone Meal,Root Rot,Imidacloprid
Winter,Red Soil,low,1.61,Waxy Corn,Farmyard Manure,Powdery Mildew,Bordeaux Mixture
Spring,Silty,high,4,Waxy Corn,Vermicompost,Blight,Imidacloprid
Spring,Sandy,high,4.62,Waxy Corn,Urea,Root Rot,Imidacloprid
Winter,Silty,low,4.66,Waxy Corn,Urea,Blight,Bordeaux Mixture
Winter,Silty,high,3.13,Waxy Corn,Vermicompost,Mosaic Virus,Imidacloprid
Cold,Clay,medium,3.77,Waxy Corn,DAP,Rust,Imidacloprid
Cold,Red Soil,low,1.13,Waxy Corn,Farmyard Manure,Blight,Trichoderma
Winter,Clay,medium,2.96,Dent Corn,DAP,Wilt,Bordeaux Mixture
Summer,Red Soil,medium,1.32,Dent Corn,Bone Meal,Root Rot,Trichoderma
Winter,Clay,medium,1.56,Dent Corn,Vermicompost,Wilt,Sulfur Dust
Summer,Loamy,medium,4.46,Dent Corn,NPK,Leaf Spot,Imidacloprid
Rainy (Monsoon),Alluvial Soil,high,1.5,Dent Corn,Urea,Rust,Sulfur Dust
Cold,Silty,medium,3.82,Dent Corn,Farmyard Manure,Powdery Mildew,Carbendazim
Cold,Black Soil,low,1.51,Dent Corn,Vermicompost,Blight,Imidacloprid
Spring,Sandy,medium,1.89,Dent Corn,Compost,Powdery Mildew,Imidacloprid
Spring,Red Soil,medium,0.83,Dent Corn,Compost,Blight,Trichoderma
Cold,Alluvial Soil,low,1.94,Dent Corn,Urea,Root Rot,Sulfur Dust
Cold,Clay,medium,3.38,Flint Corn,DAP,Rust,Imidacloprid
Spring,Black Soil,medium,4.59,Flint Corn,Compost,Rust,Imidacloprid
Cold,Loamy,medium,1.04,Flint Corn,Urea,Root Rot,Copper Fungicide
Winter,Alluvial Soil,high,4.23,Flint Corn,Compost,Powdery Mildew,Bordeaux Mixture
Cold,Silty,medium,1.14,Flint Corn,NPK,Leaf Spot,Imidacloprid
Rainy (Monsoon),Red Soil,medium,4.28,Flint Corn,DAP,Leaf Spot,Bordeaux Mixture
Rainy (Monsoon),Alluvial Soil,high,3.7,Flint Corn,Bone Meal,Root Rot,Neem Oil Spray
Spring,Sandy,high,4.74,Flint Corn,Vermicompost,Root Rot,Imidacloprid
Winter,Sandy,low,0.87,Flint Corn,Compost,Blight,Bordeaux Mixture
Spring,Silty,low,2.27,Flint Corn,Compost,Blight,Bordeaux Mixture
Rainy (Monsoon),Silty,high,4.47,Red Sorghum,Vermicompost,Rust,Bordeaux Mixture
Cold,Sandy,high,1.6,Red Sorghum,Bone Meal,Blight,Sulfur Dust
Rainy (Monsoon),Silty,medium,4.46,Red Sorghum,NPK,Blight,Sulfur Dust
Rainy (Monsoon),Sandy,medium,2.33,Red Sorghum,Compost,Leaf Spot,Bordeaux Mixture
Spring,Loamy,low,4.17,Red Sorghum,Bone Meal,Wilt,Copper Fungicide
Winter,Clay,low,3.57,Red Sorghum,Bone Meal,Root Rot,Trichoderma
Spring,Alluvial Soil,low,0.99,Red Sorghum,Farmyard Manure,Rust,Neem Oil Spray
Rainy (Monsoon),Alluvial Soil,high,1.3,Red Sorghum,NPK,Mosaic Virus,Carbendazim
Summer,Sandy,medium,4.8,Red Sorghum,Bone Meal,Rust,Neem Oil Spray
Rainy (Monsoon),Sandy,high,1.39,Red Sorghum,Urea,Leaf Spot,Copper Fungicide
Summer,Loamy,low,1.97,White Sorghum,Urea,Rust,Trichoderma
Summer,Black Soil,low,0.68,White Sorghum,Urea,Root Rot,Neem Oil Spray
Summer,Clay,medium,4.28,White Sorghum,NPK,Powdery Mildew,Carbendazim
Winter,Red Soil,medium,3.27,White Sorghum,NPK,Leaf Spot,Imidacloprid
Winter,Black Soil,low,0.69,White Sorghum,Vermicompost,Blight,Trichoderma
Cold,Clay,medium,4.8,White Sorghum,Urea,Leaf Spot,Copper Fungicide
Summer,Clay,medium,2.29,White Sorghum,Compost,Powdery Mildew,Sulfur Dust
Winter,Black Soil,low,4.61,White Sorghum,Farmyard Manure,Leaf Spot,Copper Fungicide
Spring,Clay,low,3.48,White Sorghum,NPK,Powdery Mildew,Sulfur Dust
Winter,Sandy,high,2.78,White Sorghum,Compost,Leaf Spot,Copper Fungicide
Summer,Sandy,high,1.59,Sweet Sorghum,Urea,Wilt,Sulfur Dust
Summer,Sandy,medium,2.7,Sweet Sorghum,DAP,Root Rot,Carbendazim
Cold,Black Soil,low,1.35,Sweet Sorghum,Vermicompost,Wilt,Trichoderma
Cold,Clay,low,3.42,Sweet Sorghum,Compost,Root Rot,Bordeaux Mixture
Cold,Sandy,low,4.54,Sweet Sorghum,Farmyard Manure,Powdery Mildew,Trichoderma
Summer,Loamy,medium,3.47,Sweet Sorghum,Farmyard Manure,Leaf Spot,Trichoderma
Winter,Black Soil,medium,4.26,Sweet Sorghum,Bone Meal,Mosaic Virus,Copper Fungicide
Summer,Black Soil,low,3.54,Sweet Sorghum,Urea,Wilt,Bordeaux Mixture
Summer,Black Soil,medium,1.28,Sweet Sorghum,Farmyard Manure,Rust,Imidacloprid
Cold,Red Soil,high,0.68,Sweet Sorghum,Bone Meal,Mosaic Virus,Carbendazim
Winter,Black Soil,medium,2.58,Broom Corn,NPK,Mosaic Virus,Imidacloprid
Cold,Silty,medium,0.83,Broom Corn,NPK,Powdery Mildew,Sulfur Dust
Spring,Loamy,high,0.59,Broom Corn,Bone Meal,Wilt,Trichoderma
Rainy (Monsoon),Sandy,low,3.87,Broom Corn,NPK,Wilt,Neem Oil Spray
Winter,Red Soil,high,2.41,Broom Corn,Vermicompost,Root Rot,Neem Oil Spray
Winter,Loamy,medium,1.86,Broom Corn,NPK,Mosaic Virus,Neem Oil Spray
Cold,Loamy,medium,1.11,Broom Corn,Urea,Rust,Neem Oil Spray
Spring,Sandy,low,3.35,Broom Corn,DAP,Wilt,Neem Oil Spray
Spring,Alluvial Soil,high,0.75,Broom Corn,DAP,Powdery Mildew,Bordeaux Mixture
Summer,Sandy,high,3.89,Broom Corn,Urea,Blight,Carbendazim
Summer,Clay,medium,3.77,Guinea Corn,NPK,Leaf Spot,Trichoderma
Rainy (Monsoon),Sandy,high,3.74,Guinea Corn,NPK,Blight,Carbendazim
Rainy (Monsoon),Sandy,high,1.45,Guinea Corn,Farmyard Manure,Wilt,Trichoderma
Spring,Silty,medium,0.9,Guinea Corn,NPK,Powdery Mildew,Bordeaux Mixture
Rainy (Monsoon),Silty,high,2.61,Guinea Corn,Urea,Mosaic Virus,Copper Fungicide
Summer,Sandy,high,0.58,Guinea Corn,NPK,Leaf Spot,Neem Oil Spray
Cold,Loamy,low,2.81,Guinea Corn,Vermicompost,Root Rot,Sulfur Dust
Winter,Clay,low,4.04,Guinea Corn,Compost,Leaf Spot,Trichoderma
Winter,Sandy,high,1.09,Guinea Corn,Bone Meal,Powdery Mildew,Imidacloprid
Cold,Sandy,medium,3.8,Guinea Corn,Farmyard Manure,Rust,Bordeaux Mixture
